Data,Confirmados,Descartados,Investigados,Suspeito,Notificados,Isolados,Internados,Monitorados,Recuperados,Ã“bitos
17/03/2020,0,0,0,,0,0,0,0,0,0
18/03/2020,0,0,0,,0,0,0,0,0,0
19/03/2020,0,1,0,,0,0,0,0,0,0
20/03/2020,0,1,,,,,0,0,0,0
21/03/2020,0,1,,,,,0,0,0,0
22/03/2020,0,1,,,,,0,0,0,0
23/03/2020,0,1,,,,,0,8,0,0
24/03/2020,0,1,,,,,0,15,0,0
25/03/2020,0,1,,,,,0,22,0,0
26/03/2020,0,1,,,,,0,25,0,0
27/03/2020,0,1,,,,,0,31,0,0
28/03/2020,0,1,,,,,0,29,0,0
29/03/2020,0,1,,,,,0,26,0,0
30/03/2020,0,1,,,,,0,29,0,0
31/03/2020,0,1,,1,,,0,28,0,0
01/04/2020,0,1,,1,,,0,27,0,0
02/04/2020,0,1,,2,,,0,27,0,0
03/04/2020,0,1,,2,,,0,27,0,0
04/04/2020,0,1,,2,,,0,27,0,0
05/04/2020,0,0,,3,,,0,27,0,0
06/04/2020,0,3,,,,,0,25,0,0
07/04/2020,0,3,,,,,0,19,0,0
08/04/2020,0,3,,,,,0,17,0,0
09/04/2020,0,3,,,,,0,17,0,0
10/04/2020,0,3,,,,,0,17,0,0
11/04/2020,0,3,,,,,0,17,0,0
12/04/2020,0,3,,,,,0,19,0,0
13/04/2020,0,3,,,,,0,18,0,0
14/04/2020,0,3,,,,,0,16,0,0
15/04/2020,0,3,,,,,0,10,0,0
16/04/2020,0,3,,,,,0,11,0,0
17/04/2020,0,3,,,,,0,12,0,0
18/04/2020,0,3,,,,,0,12,0,0
19/04/2020,0,3,,,,,0,20,0,0
20/04/2020,0,3,,,,,0,15,0,0
21/04/2020,0,3,,,,,0,19,0,0
22/04/2020,0,3,,1,,,0,23,0,0
23/04/2020,0,3,,2,,,0,29,0,0
24/04/2020,0,3,,2,,,0,27,0,0
25/04/2020,0,3,,2,,,0,20,0,0
26/04/2020,0,3,,2,,,0,25,0,0
27/04/2020,0,3,,2,,,0,30,0,0
28/04/2020,0,3,,2,,,0,36,0,0
29/04/2020,0,3,,2,,,0,39,0,0
30/04/2020,0,5,,2,,,0,41,0,0
01/05/2020,0,,,,,,0,,0,0
02/05/2020,0,5,,2,,,0,41,0,0
03/05/2020,0,5,,3,,,0,36,0,0
04/05/2020,0,5,,3,,,0,38,0,0
05/05/2020,0,5,,4,,,0,37,0,0
06/05/2020,0,6,,3,,,0,29,0,0
07/05/2020,0,7,,2,,,0,19,0,0
08/05/2020,0,7,,2,,,0,7,0,0
09/05/2020,0,7,,2,,,0,7,0,0
10/05/2020,1,7,,2,,,0,12,0,0
11/05/2020,1,,,,,,0,,0,0
12/05/2020,2,7,,3,,,0,21,0,0
13/05/2020,3,7,,3,,,0,21,0,0
14/05/2020,5,7,,3,,,0,27,0,0
15/05/2020,5,7,,5,,,0,39,0,0
16/05/2020,5,7,,5,,,0,39,0,0
17/05/2020,5,7,,5,,,0,39,0,0
18/05/2020,5,9,,3,,,0,52,0,0
19/05/2020,6,9,,6,,,0,68,0,0
20/05/2020,7,9,,18,,,0,104,0,0
21/05/2020,7,9,,20,,,0,83,0,