Data,Confirmados,Descartados,Investigados,Notificados,Isolados,Internados,Monitorados,Recuperados,Mortes
13/03/2020,1,0,-,-,1,0,0,0,
14/03/2020,1,0,-,-,1,0,58,0,
15/03/2020,1,0,-,-,1,0,60,0,
16/03/2020,1,0,-,-,1,0,61,0,
17/03/2020,2,23,-,-,2,0,41,0,
18/03/2020,3,26,-,-,3,0,50,0,
19/03/2020,3,26,,,3,0,70,0,
20/03/2020,3,27,,,3,0,78,0,
21/03/2020,5,40,,,5,0,85,0,
22/03/2020,5,40,,,4,0,80,1,
23/03/2020,5,40,,,4,0,80,1,
24/03/2020,5,80,,,2,0,18,3,
25/03/2020,5,,,,2,0,16,3,
26/03/2020,6,,,,2,1,,3,
27/03/2020,7,,,,3,1,,3,
28/03/2020,7,,,,3,1,,3,
29/03/2020,7,,,,3,1,,3,
30/03/2020,7,0,17,,15,5,,3,
31/03/2020,7,0,19,,16,5,,5,
01/04/2020,7,1,18,,14,7,,5,
02/04/2020,7,0,21,,1,1,,6,
03/04/2020,8,6,14,,14,2,,6,
04/04/2020,8,0,15,,15,2,,6,
05/04/2020,8,,8,,8,2,,6,
06/04/2020,8,,9,,,2,,6,
07/04/2020,9,,8,,,3,,6,
08/04/2020,10,,5,,1,3,,6,
09/04/2020,11,,6,,1,4,,6,
10/04/2020,11,,6,,1,4,,6,
11/04/2020,11,,6,,1,4,,6,1
12/04/2020,13,,3,,1,5,,6,1
13/04/2020,13,,3,,1,5,,6,1
14/04/2020,13,,1,,0,5,,7,1
15/04/2020,13,,1,,0,5,,7,1
16/04/2020,13,,1,,0,5,,7,1
17/04/2020,13,,5,,2,2,,8,1
18/04/2020,13,,3,,2,2,,8,1
19/04/2020,13,,3,,2,2,,8,1
20/04/2020,13,,8,,2,2,,8,1
21/04/2020,13,,10,,2,2,,8,1
22/04/2020,13,,10,,1,1,,9,1
23/04/2020,14,,7,,1,1,,11,1
24/04/2020,14,,7,,0,2,,11,1
25/04/2020,14,,8,,0,2,,11,1
26/04/2020,15,,6,,0,3,,11,1
27/04/2020,15,,9,,1,2,,11,1
28/04/2020,19,,10,,4,3,,11,1
29/04/2020,19,,6,,6,1,,11,1
30/04/2020,19,,7,,6,0,,12,1
01/05/2020,19,,2,,6,0,,12,1
02/05/2020,19,,2,,6,0,,12,1
03/05/2020,19,,2,,6,0,,12,1
04/05/2020,19,,2,,6,0,,12,1
05/05/2020,19,,3,,6,0,,12,1
06/05/2020,19,,7,,6,0,,12,1
07/05/2020,19,,14,,4,7,,14,1
08/05/2020,19,,14,,4,7,,14,1
09/05/2020,23,,7,,8,0,,14,1
10/05/2020,23,,7,,8,0,,14,1
11/05/2020,23,,4,,6,1,,16,1
12/05/2020,23,,16,,6,1,,16,1
13/05/2020,23,,18,,4,2,,17,1
14/05/2020,23,,22,,3,2,,18,1
15/05/2020,23,,22,,3,2,,18,1
16/05/2020,25,,35,,4,4,,18,2
17/05/2020,26,,35,,5,4,,18,2
18/05/2020,27,,13,,6,4,,18,2
19/05/2020,30,,14,,9,4,,18,2
20/05/2020,33,,14,,13,2,,18,2
21/05/2020,34,,16,,12,0,,20,2
22/05/2020,35,,24,,12,1,,20,2
23/05/2020,40,,27,,11,5,,22,2
24/05/2020,40,,12,,11,5,,22,2